"filename", "language", "Markdown", "JavaScript", "Skill", "JSON", "XML", "PHP", "PostCSS", "comment", "blank", "total"
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\endpoint-tests.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 19, 48
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\finding-features.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 10, 34
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\isolation.md", "Markdown", 34, 0, 0, 0, 0, 0, 0, 0, 19, 53
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\naming.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 14, 38
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\performance.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 18, 47
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\review.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 13, 43
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\security.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\test-data.md", "Markdown", 50, 0, 0, 0, 0, 0, 0, 0, 19, 69
"c:\laragon\www\marchando\.mcp.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\laragon\www\marchando\AGENTS.md", "Markdown", 69, 0, 0, 0, 0, 0, 0, 0, 9, 78
"c:\laragon\www\marchando\CLAUDE.md", "Markdown", 97, 0, 0, 0, 0, 0, 0, 0, 62, 159
"c:\laragon\www\marchando\README.md", "Markdown", 36, 0, 0, 0, 0, 0, 0, 0, 23, 59
"c:\laragon\www\marchando\app\Allergens.php", "PHP", 0, 0, 0, 0, 0, 24, 0, 3, 3, 30
"c:\laragon\www\marchando\app\AttendanceService.php", "PHP", 0, 0, 0, 0, 0, 73, 0, 0, 13, 86
"c:\laragon\www\marchando\app\CatalogMoney.php", "PHP", 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\laragon\www\marchando\app\CatalogPriceCalculator.php", "PHP", 0, 0, 0, 0, 0, 73, 0, 4, 12, 89
"c:\laragon\www\marchando\app\DeliveryDistance.php", "PHP", 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\laragon\www\marchando\app\DiningTableQrCode.php", "PHP", 0, 0, 0, 0, 0, 23, 0, 0, 5, 28
"c:\laragon\www\marchando\app\DiningTableQrManager.php", "PHP", 0, 0, 0, 0, 0, 34, 0, 0, 11, 45
"c:\laragon\www\marchando\app\Events\KitchenChanged.php", "PHP", 0, 0, 0, 0, 0, 24, 0, 0, 8, 32
"c:\laragon\www\marchando\app\Events\PublicOrderChanged.php", "PHP", 0, 0, 0, 0, 0, 26, 0, 0, 8, 34
"c:\laragon\www\marchando\app\FinancialService.php", "PHP", 0, 0, 0, 0, 0, 174, 0, 0, 25, 199
"c:\laragon\www\marchando\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, 0, 0, 0, 0, 35, 0, 0, 11, 46
"c:\laragon\www\marchando\app\Http\Controllers\CashController.php", "PHP", 0, 0, 0, 0, 0, 47, 0, 0, 9, 56
"c:\laragon\www\marchando\app\Http\Controllers\CatalogController.php", "PHP", 0, 0, 0, 0, 0, 118, 0, 0, 22, 140
"c:\laragon\www\marchando\app\Http\Controllers\CategoryController.php", "PHP", 0, 0, 0, 0, 0, 76, 0, 1, 20, 97
"c:\laragon\www\marchando\app\Http\Controllers\ClockController.php", "PHP", 0, 0, 0, 0, 0, 40, 0, 0, 11, 51
"c:\laragon\www\marchando\app\Http\Controllers\Controller.php", "PHP", 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\laragon\www\marchando\app\Http\Controllers\DashboardController.php", "PHP", 0, 0, 0, 0, 0, 33, 0, 3, 7, 43
"c:\laragon\www\marchando\app\Http\Controllers\DiningTableBatchController.php", "PHP", 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
